,Category,Title,Author,Rank,Weeks on List,Publisher,ISBN13,ISBN10,Description,Price,Stars,Reviews,Ratings
119,Children’s Picture Books,CREEPY PAIR OF UNDERWEAR,Aaron Reynolds.,10,30,Simon & Schuster,9781442402980,1442402989,Jasper Rabbit deals with a pair of glowing underwear that won't go away. (Ages 4 to 8),Price not found on the page.,4.32,806.0,5707.0
120,Children’s & Young Adult Series,THE WILD ROBOT,Peter Brown,1,34,"Little, Brown",9780316381994,0316381993,"Roz the robot adapts to her surroundings on a remote, wild island. (Ages 7 to 12)",Price not found on the page.,4.14,7741.0,67875.0
121,Children’s & Young Adult Series,THE POWERLESS TRILOGY,Lauren Roberts,2,11,Simon & Schuster,9781665954884,1665954884,"A story of forbidden love between Paedyn, an Ordinary, and Kai, an Elite, in the kingdom of Ilya. (Ages 14 and up)",Price not found on the page.,4.22,69219.0,396076.0
122,Children’s & Young Adult Series,BOYS OF TOMMEN,Chloe Walsh,3,11,Bloom,9781464215995,1464215995,"In Ireland, friends at the private school Tommen College prepare for adulthood. (Ages 16 to 18)",Price not found on the page.,4.48,10879.0,77947.0
123,Children’s & Young Adult Series,A GOOD GIRL'S GUIDE TO MURDER,Holly Jackson,4,155,Delacorte,9781984896360,1984896369,Pippa Fitz-Amobi solves murderous crimes. (Ages 14 and up),Price not found on the page.,4.32,141340.0,1301196.0
124,Children’s & Young Adult Series,DIARY OF A WIMPY KID,and   Jeff Kinney,5,809,Amulet,9780810993136,0810993139,The travails and challenges of adolescence. (Ages 9 to 12),Price not found on the page.,3.98,22238.0,709385.0
125,Children’s & Young Adult Series,HARRY POTTER,J.K. Rowling,6,808,Scholastic,9780590353427,059035342X,A wizard hones his conjuring skills in the service of fighting evil. (Ages 10 and up),Price not found on the page.,4.47,169217.0,10388313.0
126,Children’s & Young Adult Series,PERCY JACKSON & THE OLYMPIANS,Rick Riordan,7,742,Disney-Hyperion,9781423101505,1423101502,A boy battles mythological monsters. (Ages 9 to 12),Price not found on the page.,4.55,44829.0,1047061.0
127,Children’s & Young Adult Series,GRAVITY FALLS,Alex Hirsch and various illustrators,8,9,Disney,9781484746691,1484746694,The adventures of twins Dipper and Mabel Pines. (Ages 8 to 12),Price not found on the page.,4.68,885.0,8500.0
128,Children’s & Young Adult Series,THE HUNGER GAMES,Suzanne Collins,9,342,Scholastic,9780439023528,0439023521,"In a dystopia, a girl fights for survival on live TV. (Ages 12 and up)",Price not found on the page.,4.34,225168.0,8953498.0
129,Children’s & Young Adult Series,WHO WAS/IS . . . ?,Jim Gigliotti and others; various illustrators,10,170,Penguin Workshop,9780448482996,0448482991,Biographies unlock legendary lives. (Ages 8 to 11),Price not found on the page.,4.25,102.0,711.0
130,Young Adult Hardcover,IMMORTAL DARK,Tigest Girma,1,2,"Little, Brown",9780316570381,0316570389,"Kidan searches for her abducted sister at the elite Uxlay University, where humans and vampires study to coexist. (Ages 14 to 18)",Price not found on the page.,3.95,818.0,1801.0
131,Young Adult Hardcover,THE GRANDEST GAME,Jennifer Lynn Barnes,2,7,"Little, Brown",9780316481014,0316481017,A prize worth millions is up for grabs for seven players sequestered on a private island. (Ages 12 to 18),Price not found on the page.,4.01,3058.0,16757.0
132,Young Adult Hardcover,CELESTIAL MONSTERS,Aiden Thomas,3,2,Feiwel & Friends,9781250822086,1250822084,"In a world now filled with darkness, three friends embark on a quest to retrieve the Sol Stone. (Ages 13 to 18)",Price not found on the page.,4.41,492.0,1418.0
133,Young Adult Hardcover,DIVINE RIVALS,Rebecca Ross,4,65,Wednesday,9781250857439,1250857430,Two young rival journalists find love through a magical connection. (Ages 13 to 18),Price not found on the page.,4.19,83079.0,508446.0
134,Young Adult Hardcover,WHEN HARU WAS HERE,Dustin Thao,5,2,Wednesday,9781250762061,1250762065,Eric deals with the death of his best friend and crush with an imaginary relationship. (Ages 12 to 18),Price not found on the page.,3.95,281.0,810.0
135,Young Adult Hardcover,COMPOUND FRACTURE,Andrew Joseph White,6,2,Peachtree Teen,9781682636121,1682636127,An autistic transgender teen and his family have been involved in a century-old feud with Twist Creek’s governing powers. (Ages 14 to 17),Price not found on the page.,4.55,637.0,1152.0
136,Young Adult Hardcover,THE REAPPEARANCE OF RACHEL PRICE,Holly Jackson,7,24,Delacorte,9780593374207,0593374207,"Annabel Price's mother was presumed dead, until she reappears during the filming of a documentary about her disappearance. (Ages 14 to 17)",Price not found on the page.,4.13,18767.0,95156.0
137,Young Adult Hardcover,NIGHTBANE,Alex Aster,8,45,Amulet,9781419760907,1419760904,"In this sequel to ""Lightlark,"" Isla must choose between her two powerful lovers. (Ages 13 and up)",Price not found on the page.,4.14,10484.0,72699.0
138,Young Adult Hardcover,"SUNDERWORLD, VOL. I: THE EXTRAORDINARY DISAPPOINTMENTS OF LEOPOLD BERRY",Ransom Riggs,9,3,Dutton,9780593530931,0593530934,Leopold Berry discovers that his favorite TV series might be a real place. (Ages 14 to 17),Price not found on the page.,4.12,297.0,686.0
139,Young Adult Hardcover,MURTAGH,Christopher Paolini,10,43,Knopf,9780593650868,0593650867,"Murtagh and his dragon, Thorn, must find and outwit a mysterious witch. (Ages 12 to 15)",Price not found on the page.,4.16,3759.0,29629.0
